"species","snow_species"
"gambiae_complex","An gambiae_complex"
"gambiae_coluzzii","An gambiae ss"
"coluzzii","SS M Form (An colluzzi or Mopti forms)"
"gambiae","SS S Form (savanah or Bamako forms)"
"arabiensis","An arabiensis"
"melas","An. melas"
"merus","An. merus"
"bwambae","An bwambae"
"funestus_sl","An funestus  s.l"
"funestus","An funestus s.s. (specified)"
"rivulorum","An rivulorum"
"leesoni","An leesoni"
"parensis","An parensis"
"vaneedeni","An vaneedeni"
"nili_sl","An nili s.l"
"moucheti_sl","An moucheti s.l"
"pharoensis","An pharoensis"
"hancocki","An hancocki"
"mascarensis","An mascarensis"
"marshalli","An marshalli"
"squamosus","An squamous"
"wellcomei","An wellcomei"
"rufipes","An rufipes"
"coustani_sl","An coustani s.l"
"ziemanni","An ziemanni "
"paludis","An paludis "
,"An wellcomei wellcomei"
"nili","An nili s.s"
,"An wellcomei ugandae"
"nili","An nili s.s."
"nili","An nili Congo form"
,"An rufipes typicus"
,"An rufipes ingrami"
,"An rufipes var. ingrami"
,"An coustani tenebrosus"
,"An coustani caliginosus"
,"An squamosus var cydippis"
,"M/S hybrid"
,"Hybrid gambiae x arabiensis"
,"An squamosus var. cydippis"
,"An squamosus entebbiensis"
,"An marshalli gibbinsi"
,"An marshalli var gibbinsi"
,"An funestus-like"
,"An carnevalei (of nili complex)"
"moucheti","An moucheti s.s"
"moucheti","An moucheti moucheti"
"carnevalei","An carnevalei"
"ovengensis","An ovengensis"
"ovengensis","An nili ovengensis"
,"An rufipes rufipes"
"coustani","An coustani coustani"
,"An moucheti bervoetsi"
"ovengensis","nili = An ovengensis"
,"An funsestus subumbrosa"
,"An funsestus umbrosa"
"somalicus","An nili somalicus"
"nigeriensis","An moucheti nigeriensis"
,"An marshalli var keniensis"
,"An marshalli var. pitchfordi"
,"An coustani var. tenebrosus"
,"An gambiae ss/An arabiensis hybrid"
,"An funestus var confusus"
,"An rivulorum-like"
,"An marshalli var. mousinhoi"
,"An moucheti {stated as remarkable this far south]"
,"An rufipes broussesi"
,"An rufipes (t.f)"
"nigeriensis","An moucheti var. nigeriensis"
,"Funestus Kiribina form"
,"Folonzo form"
,"An coustani var tenebrosus"
,"An marshalli spp B"
,"An marshalli spp B & C"
,"An marshalli spp A"
,"B & C"
,"An funesta var. umbrossa"
,"An funesta var. subumbrosa"
,"An rufipes Gough"
,"An rufipes var. ingrami Edwards"
,"An coustani tenebrousus"
,"An marshalli var. gibbinsi"
,"An marshalli var. hargreavesi"
,"Funestus molecular form Z"
,"MW & Y"
,"Funestus molecular form MW"
,"An gambiae/An arabiensis hybrid"
,"An funestus var. confusus"
,"An funestus var. fuscivenosus"
,"An funestus var. confusus"
,"An funestus var. fuscivenosus"
